close_50_sma,close_200_sma,close_10_ema,macd,macds,macdh,rsi,boll,boll_ub,boll_lb,atr,vwma,datetime,timestamp
,,68767.51,0.0,0.0,0.0,100.0,,,,255.27999999999884,,2026-03-27 03:00:00,1774580400
,,68733.05363636363,-15.117606837608037,-3.0235213675216075,-12.09408547008643,0.0,,,,271.84999999999854,,2026-03-27 04:00:00,1774584000
,,68714.45661157025,-22.58003262960119,-6.934823619937525,-15.645209009663667,23.069500782225248,,,,277.72428571428514,,2026-03-27 05:00:00,1774587600
,,68703.85540946656,-26.144724829835468,-10.776803861917115,-15.367920967918353,31.280692257037174,,,,277.7711224489794,,2026-03-27 06:00:00,1774591200
,,68674.15078956354,-37.8668657294038,-16.19481623541445,-21.67204949398935,20.527173726030796,,,,297.66961370262413,,2026-03-27 07:00:00,1774594800
,,68537.12337327926,-96.07644203840755,-32.17114139601307,-63.90530064239448,6.878298338921994,,,,349.67749843815193,,2026-03-27 08:00:00,1774598400
,,68384.1573054103,-158.51133581853355,-57.439180280517164,-101.07215553801639,5.461079394233465,,,,354.1041056925703,,2026-03-27 09:00:00,1774602000
,,68042.02143169934,-300.821166149748,-106.11557745436335,-194.70558869538468,2.506765547409927,,,,432.5688124288153,,2026-03-27 10:00:00,1774605600
,,67798.52298957217,-392.90537890327687,-163.47353774414609,-229.43184115913078,11.193458024870026,,,,445.6774686838997,,2026-03-27 11:00:00,1774609200
,,67584.20244601359,-467.19625352323055,-224.218080899963,-242.97817262326754,10.765454778192236,,,,438.20479234933526,,2026-03-27 12:00:00,1774612800
,,67330.40563764748,-554.4940469887515,-290.27327411772075,-264.22077287103076,8.867786209683999,,,,459.2115928958115,,2026-03-27 13:00:00,1774616400
,,67125.79733989338,-615.2353490259702,-355.26568909937066,-259.96965992659955,9.534121047847194,,,,474.54147911753944,,2026-03-27 14:00:00,1774620000
,,66941.61964173095,-663.1716358183621,-416.846878443169,-246.32475737519314,9.137656855583145,,,,489.18137346628663,,2026-03-27 15:00:00,1774623600
