datetime,open,high,low,close,volume,timestamp
2026-03-27 21:00:00,1986.05,1991.08,1984.36,1985.73,3983.907,1774645200
2026-03-27 22:00:00,1985.74,1987.23,1981.95,1985.52,2720.8642,1774648800
2026-03-27 23:00:00,1985.51,1993.85,1980.54,1992.75,5204.99,1774652400
2026-03-28 00:00:00,1992.76,1995.16,1989.68,1992.59,4009.8013,1774656000
2026-03-28 01:00:00,1992.6,1992.7,1984.93,1990.43,7775.3214,1774659600
2026-03-28 02:00:00,1990.43,1993.69,1983.17,1987.32,3538.7191,1774663200
2026-03-28 03:00:00,1987.32,1991.25,1987.13,1989.19,2671.978,1774666800
2026-03-28 04:00:00,1989.19,1992.51,1987.3,1990.8,2365.1314,1774670400
2026-03-28 05:00:00,1990.8,1994.9,1988.32,1994.23,3194.6928,1774674000
2026-03-28 06:00:00,1994.22,2007.0,1993.39,2000.95,8339.4358,1774677600
2026-03-28 07:00:00,2000.95,2008.35,2000.68,2007.07,4419.207,1774681200
2026-03-28 08:00:00,2007.07,2008.34,1998.26,1999.24,4158.2227,1774684800
2026-03-28 09:00:00,1999.24,1999.76,1995.6,1999.52,5307.5426,1774688400
2026-03-28 10:00:00,1999.51,2004.57,1992.77,1996.69,5539.4669,1774692000
2026-03-28 11:00:00,1996.69,2000.56,1995.86,1997.64,3232.3907,1774695600
2026-03-28 12:00:00,1997.64,2004.5,1992.25,1999.67,6475.126,1774699200
2026-03-28 13:00:00,1999.67,2047.45,1999.3,2026.4,30427.1641,1774702800
2026-03-28 14:00:00,2026.39,2028.99,2016.14,2020.84,13682.392,1774706400
2026-03-28 15:00:00,2020.83,2040.26,2018.4,2026.84,14625.4102,1774710000
2026-03-28 16:00:00,2026.84,2030.23,2021.68,2024.78,4889.927,1774713600
2026-03-28 17:00:00,2024.79,2027.15,2016.5,2020.84,4857.7136,1774717200
2026-03-28 18:00:00,2020.84,2024.66,2020.37,2021.8,1630.6404,1774720800
2026-03-28 19:00:00,2021.79,2022.81,2017.01,2020.56,1332.2694,1774724400
2026-03-28 20:00:00,2020.57,2026.48,2020.56,2024.59,2446.6779,1774728000
2026-03-28 21:00:00,2024.6,2025.56,2006.69,2009.61,5915.671,1774731600
2026-03-28 22:00:00,2009.61,2013.14,2005.38,2011.89,4426.194,1774735200
2026-03-28 23:00:00,2011.88,2011.88,1989.64,1994.74,9570.7102,1774738800
2026-03-29 00:00:00,1994.74,2000.0,1991.52,1999.16,4042.0247,1774742400
2026-03-29 01:00:00,1999.16,2007.61,1997.78,2005.08,4379.1952,1774746000
2026-03-29 02:00:00,2005.09,2010.55,2002.55,2008.93,3658.554,1774749600
2026-03-29 03:00:00,2008.93,2019.65,2007.04,2011.1,4533.4869,1774753200
2026-03-29 04:00:00,2011.1,2012.72,2004.23,2005.85,2975.6975,1774756800
2026-03-29 05:00:00,2005.84,2007.27,1997.67,2005.31,3321.9747,1774760400
2026-03-29 06:00:00,2005.31,2008.33,2000.02,2004.98,2453.5988,1774764000
2026-03-29 07:00:00,2004.98,2009.91,2000.04,2006.14,4077.1887,1774767600
2026-03-29 08:00:00,2006.14,2007.5,2002.66,2004.26,2585.1682,1774771200
2026-03-29 09:00:00,2004.26,2005.42,1994.5,1999.21,5200.9549,1774774800
2026-03-29 10:00:00,1999.2,1999.2,1991.9,1995.89,3429.4306,1774778400
2026-03-29 11:00:00,1995.9,2008.16,1995.22,2003.78,3852.2694,1774782000
2026-03-29 12:00:00,2003.78,2004.9,1997.82,2001.68,2722.399,1774785600
2026-03-29 13:00:00,2001.68,2002.14,1983.56,1987.09,9261.1,1774789200
2026-03-29 14:00:00,1987.09,2002.35,1983.99,1994.17,6745.9691,1774792800
2026-03-29 15:00:00,1994.17,1998.98,1986.32,1992.97,6503.2005,1774796400
2026-03-29 16:00:00,1992.98,2003.61,1992.03,1997.82,6490.8616,1774800000
2026-03-29 17:00:00,1997.82,2000.21,1987.6,1995.1,4682.23,1774803600
2026-03-29 18:00:00,1995.11,2002.0,1991.58,1997.33,3514.9668,1774807200
2026-03-29 19:00:00,1997.33,2000.11,1994.36,1995.89,2275.9774,1774810800
2026-03-29 20:00:00,1995.89,2009.48,1995.84,2002.5,4264.0169,1774814400
2026-03-29 21:00:00,2002.49,2007.24,2001.5,2006.51,2530.3863,1774818000
2026-03-29 22:00:00,2006.51,2006.51,1938.82,1973.99,50023.8155,1774821600
2026-03-29 23:00:00,1973.99,1994.67,1973.63,1984.64,23202.2715,1774825200
2026-03-30 00:00:00,1984.65,2023.73,1980.28,1997.25,27492.0563,1774828800
2026-03-30 01:00:00,1997.27,2016.33,1997.19,2010.43,9665.3439,1774832400
2026-03-30 02:00:00,2010.44,2043.5,2007.53,2029.93,23530.7528,1774836000
2026-03-30 03:00:00,2029.93,2042.07,2027.5,2035.88,9341.4332,1774839600
2026-03-30 04:00:00,2035.88,2053.0,2035.88,2048.39,12455.1914,1774843200
2026-03-30 05:00:00,2048.39,2058.96,2045.14,2047.84,16018.9397,1774846800
2026-03-30 06:00:00,2047.84,2052.0,2041.19,2042.46,8504.2301,1774850400
2026-03-30 07:00:00,2042.46,2068.28,2041.54,2059.58,15282.5522,1774854000
2026-03-30 08:00:00,2059.58,2075.0,2058.15,2062.33,16805.7939,1774857600
2026-03-30 09:00:00,2062.32,2063.13,2053.87,2055.16,7642.1111,1774861200
2026-03-30 10:00:00,2055.16,2058.3,2048.14,2057.78,6886.6689,1774864800
2026-03-30 11:00:00,2057.78,2081.65,2057.78,2071.28,19292.8948,1774868400
2026-03-30 12:00:00,2071.29,2078.89,2069.07,2074.54,8194.5125,1774872000
2026-03-30 13:00:00,2074.54,2085.0,2058.17,2060.92,19118.9469,1774875600
2026-03-30 14:00:00,2060.93,2076.16,2044.25,2071.64,27666.5752,1774879200
2026-03-30 15:00:00,2071.65,2079.92,2061.91,2074.53,15215.1476,1774882800
2026-03-30 16:00:00,2074.53,2074.99,2058.95,2066.18,10790.1379,1774886400
2026-03-30 17:00:00,2066.18,2072.18,2032.0,2041.8,21395.3507,1774890000
2026-03-30 18:00:00,2041.79,2044.11,2028.04,2032.61,13461.8263,1774893600
2026-03-30 19:00:00,2032.6,2032.65,2013.33,2023.7,14591.0916,1774897200
